,file_names,bi_grams,tri_grams
0,no_0_Doing good every day   George Weston Foods_data.json,"[['business_unit', 1.0], ['supply_chain', 0.7391304347826086], ['tip_top', 0.6956521739130435], ['climate_change', 0.43478260869565216], ['diversity_inclusion', 0.391304347826087], ['leadership_team', 0.30434782608695654], ['bread_tag', 0.2608695652173913], ['code_conduct', 0.2608695652173913], ['environmental_impact', 0.2608695652173913], ['food_safety', 0.2608695652173913], ['health_star', 0.2608695652173913], ['local_community', 0.2608695652173913], ['modern_slavery', 0.2608695652173913], ['parent_company', 0.2608695652173913], ['approach_sustainability', 0.21739130434782608], ['focus_area', 0.21739130434782608], ['greenhouse_gas', 0.21739130434782608], ['moment_goodness', 0.21739130434782608], ['palm_oil', 0.21739130434782608], ['safety_quality', 0.21739130434782608], ['star_rating', 0.21739130434782608], ['sustainable_future', 0.21739130434782608], ['community_environment', 0.17391304347826086], ['community_most', 0.17391304347826086], ['continuous_improvement', 0.17391304347826086], ['diverse_workforce', 0.17391304347826086], ['energy_ciency', 0.17391304347826086], ['equivalent_meal', 0.17391304347826086], ['everyday_moment', 0.17391304347826086], ['gas_emission', 0.17391304347826086], ['high_quality', 0.17391304347826086], ['inclusive_workplace', 0.17391304347826086], ['more_loaf', 0.17391304347826086], ['operating_model', 0.17391304347826086], ['people_community', 0.17391304347826086], ['responsible_code', 0.17391304347826086], ['safe_high', 0.17391304347826086], ['safety_environment', 0.17391304347826086], ['sustainable_packaging', 0.17391304347826086], ['sustainable_palm', 0.17391304347826086], ['tonne_production', 0.17391304347826086], ['unit_sustainability', 0.17391304347826086], ['waste_land', 0.17391304347826086], ['animal_welfare', 0.13043478260869565], ['australian_food', 0.13043478260869565], ['brand_product', 0.13043478260869565], ['business_model', 0.13043478260869565], ['cent_recycled', 0.13043478260869565], ['clean_energy', 0.13043478260869565], ['community_group', 0.13043478260869565]]","[['food_safety_quality', 1.0], ['everyday_moment_goodness', 0.7999999999999999], ['greenhouse_gas_emission', 0.7999999999999999], ['health_star_rating', 0.7999999999999999], ['safe_high_quality', 0.7999999999999999], ['sustainable_palm_oil', 0.7999999999999999], ['business_unit_level', 0.6], ['business_unit_sustainability', 0.6], ['cent_recycled_recyclable', 0.6], ['community_most_need', 0.6], ['group_leadership_team', 0.6], ['more_loaf_bread', 0.6], ['anti_bribery_corruption', 0.39999999999999997], ['australian_council_grain', 0.39999999999999997], ['australian_new_zealander', 0.39999999999999997], ['australian_pork_industry', 0.39999999999999997], ['bioenergy_waste_facility', 0.39999999999999997], ['business_many_year', 0.39999999999999997], ['business_supply_chain', 0.39999999999999997], ['business_sustainable_future', 0.39999999999999997], ['business_unit_community', 0.39999999999999997], ['business_unit_diversity', 0.39999999999999997], ['cent_recyclable_reusable', 0.39999999999999997], ['center_sustainable_palm', 0.39999999999999997], ['chain_local_international', 0.39999999999999997], ['chain_people_community', 0.39999999999999997], ['charity_community_group', 0.39999999999999997], ['code_conduct_responsible', 0.39999999999999997], ['diversity_inclusion_index', 0.39999999999999997], ['employee_owner_business', 0.39999999999999997], ['energy_use_emission', 0.39999999999999997], ['enjoyment_customer_satisfaction', 0.39999999999999997], ['entire_workforce_community', 0.39999999999999997], ['environmental_impact_natural', 0.39999999999999997], ['ethical_responsible_sustainable', 0.39999999999999997], ['example_tip_top', 0.39999999999999997], ['food_grocery_industry', 0.39999999999999997], ['force_financial_climate', 0.39999999999999997], ['health_safety_environment', 0.39999999999999997], ['high_quality_product', 0.39999999999999997], ['household_food_brand', 0.39999999999999997], ['hunger_relief_organisation', 0.39999999999999997], ['impact_natural_resource', 0.39999999999999997], ['improvement_enjoyment_customer', 0.39999999999999997], ['inclusive_team_education', 0.39999999999999997], ['inclusive_workplace_people', 0.39999999999999997], ['individual_business_unit', 0.39999999999999997], ['industry_quality_assurance', 0.39999999999999997], ['integration_renewable_energy', 0.39999999999999997], ['international_standard_animal', 0.39999999999999997]]"
1,no_100_Living our Values   Jasol_data.json,[],[]
2,no_108_Living our Values   Jasol_data.json,[],[]
3,no_114_Workplace Behaviour Policy   George Weston Foods_data.json,"[['disciplinary_action', 1.0], ['people_performance', 1.0], ['performance_partner', 0.75], ['sexual_harassment', 0.75], ['unacceptable_behaviour', 0.75], ['behaviour_person', 0.625], ['ground_attribute', 0.625], ['group_people', 0.625], ['unlawful_discrimination', 0.625], ['unreasonable_behaviour', 0.625], ['behaviour_policy', 0.5], ['discrimination_unlawful', 0.5], ['employee_contractor', 0.5], ['good_service', 0.5], ['industrial_instrument', 0.5], ['actual_conflict', 0.375], ['attribute_discrimination', 0.375], ['complaint_behaviour', 0.375], ['conflict_interest', 0.375], ['drug_alcohol', 0.375], ['health_safety', 0.375], ['information_system', 0.375], ['leader_subordinate', 0.375], ['person_complaint', 0.375], ['person_group', 0.375], ['person_insulted', 0.375], ['policy_law', 0.375], ['policy_procedure', 0.375], ['policy_relevant', 0.375], ['reasonable_step', 0.375], ['relevant_legislation', 0.375], ['safe_healthy', 0.375], ['safety_policy', 0.375], ['social_function', 0.375], ['social_medium', 0.375], ['action_reasonable', 0.25], ['action_termination', 0.25], ['agreement_award', 0.25], ['alcohol_drug', 0.25], ['anti_discrimination', 0.25], ['attribute_australian', 0.25], ['behaviour_such', 0.25], ['behaviour_unacceptable', 0.25], ['behaviour_work', 0.25], ['behaviour_workplace', 0.25], ['breach_policy', 0.25], ['company_vehicle', 0.25], ['complaint_unacceptable', 0.25], ['conduct_sexual', 0.25], ['consumption_alcohol', 0.25]]","[['people_performance_partner', 1.0], ['actual_conflict_interest', 0.6000000000000001], ['ground_attribute_discrimination', 0.6000000000000001], ['person_group_people', 0.6000000000000001], ['action_termination_employment', 0.4], ['complaint_unacceptable_behaviour', 0.4], ['disciplinary_action_termination', 0.4], ['divisional_people_performance', 0.4], ['enterprise_agreement_award', 0.4], ['example_unlawful_discrimination', 0.4], ['functional_divisional_people', 0.4], ['grievance_handling_procedure', 0.4], ['ground_attribute_australian', 0.4], ['industrial_instrument_such', 0.4], ['information_system_policy', 0.4], ['instrument_such_enterprise', 0.4], ['lawful_sexual_activity', 0.4], ['leader_functional_divisional', 0.4], ['person_complaint_unacceptable', 0.4], ['policy_relevant_legislation', 0.4], ['policy_worker_reasonable', 0.4], ['possibility_person_insulted', 0.4], ['qualified_medical_practitioner', 0.4], ['reasonable_person_regard', 0.4], ['safety_policy_worker', 0.4], ['such_enterprise_agreement', 0.4], ['such_social_medium', 0.4], ['unreasonable_behaviour_person', 0.4], ['worker_reasonable_care', 0.4], ['workplace_safe_healthy', 0.4], ['ab_behaviour_person', 0.2], ['abilit_people_work', 0.2], ['able_grou_discrimin', 0.2], ['above_ground_attribute', 0.2], ['absolute_discretion_policy', 0.2], ['abuse_ult_person', 0.2], ['abusive_beli_ttling', 0.2], ['accordance_applicable_industrial', 0.2], ['accordance_australian_consequence', 0.2], ['acial_ethnic_backgroun', 0.2], ['act_common_form', 0.2], ['act_remark_statement', 0.2], ['act_serious_contempt', 0.2], ['act_sexual_harassment', 0.2], ['acti_vity_age', 0.2], ['actio_reasonable_manner', 0.2], ['action_action_reasonable', 0.2], ['action_assist_employee', 0.2], ['action_behaviour_suitable', 0.2], ['action_breach_policy', 0.2]]"
4,no_115_Workplace Behaviour Policy   George Weston Foods_data.json,"[['disciplinary_action', 1.0], ['people_performance', 1.0], ['performance_partner', 0.75], ['sexual_harassment', 0.75], ['unacceptable_behaviour', 0.75], ['behaviour_person', 0.625], ['ground_attribute', 0.625], ['group_people', 0.625], ['unlawful_discrimination', 0.625], ['unreasonable_behaviour', 0.625], ['behaviour_policy', 0.5], ['discrimination_unlawful', 0.5], ['employee_contractor', 0.5], ['good_service', 0.5], ['industrial_instrument', 0.5], ['actual_conflict', 0.375], ['attribute_discrimination', 0.375], ['complaint_behaviour', 0.375], ['conflict_interest', 0.375], ['drug_alcohol', 0.375], ['health_safety', 0.375], ['information_system', 0.375], ['leader_subordinate', 0.375], ['person_complaint', 0.375], ['person_group', 0.375], ['person_insulted', 0.375], ['policy_law', 0.375], ['policy_procedure', 0.375], ['policy_relevant', 0.375], ['reasonable_step', 0.375], ['relevant_legislation', 0.375], ['safe_healthy', 0.375], ['safety_policy', 0.375], ['social_function', 0.375], ['social_medium', 0.375], ['action_reasonable', 0.25], ['action_termination', 0.25], ['agreement_award', 0.25], ['alcohol_drug', 0.25], ['anti_discrimination', 0.25], ['attribute_australian', 0.25], ['behaviour_such', 0.25], ['behaviour_unacceptable', 0.25], ['behaviour_work', 0.25], ['behaviour_workplace', 0.25], ['breach_policy', 0.25], ['company_vehicle', 0.25], ['complaint_unacceptable', 0.25], ['conduct_sexual', 0.25], ['consumption_alcohol', 0.25]]","[['people_performance_partner', 1.0], ['actual_conflict_interest', 0.6000000000000001], ['ground_attribute_discrimination', 0.6000000000000001], ['person_group_people', 0.6000000000000001], ['action_termination_employment', 0.4], ['complaint_unacceptable_behaviour', 0.4], ['disciplinary_action_termination', 0.4], ['divisional_people_performance', 0.4], ['enterprise_agreement_award', 0.4], ['example_unlawful_discrimination', 0.4], ['functional_divisional_people', 0.4], ['grievance_handling_procedure', 0.4], ['ground_attribute_australian', 0.4], ['industrial_instrument_such', 0.4], ['information_system_policy', 0.4], ['instrument_such_enterprise', 0.4], ['lawful_sexual_activity', 0.4], ['leader_functional_divisional', 0.4], ['person_complaint_unacceptable', 0.4], ['policy_relevant_legislation', 0.4], ['policy_worker_reasonable', 0.4], ['possibility_person_insulted', 0.4], ['qualified_medical_practitioner', 0.4], ['reasonable_person_regard', 0.4], ['safety_policy_worker', 0.4], ['such_enterprise_agreement', 0.4], ['such_social_medium', 0.4], ['unreasonable_behaviour_person', 0.4], ['worker_reasonable_care', 0.4], ['workplace_safe_healthy', 0.4], ['ab_behaviour_person', 0.2], ['abilit_people_work', 0.2], ['able_grou_discrimin', 0.2], ['above_ground_attribute', 0.2], ['absolute_discretion_policy', 0.2], ['abuse_ult_person', 0.2], ['abusive_beli_ttling', 0.2], ['accordance_applicable_industrial', 0.2], ['accordance_australian_consequence', 0.2], ['acial_ethnic_backgroun', 0.2], ['act_common_form', 0.2], ['act_remark_statement', 0.2], ['act_serious_contempt', 0.2], ['act_sexual_harassment', 0.2], ['acti_vity_age', 0.2], ['actio_reasonable_manner', 0.2], ['action_action_reasonable', 0.2], ['action_assist_employee', 0.2], ['action_behaviour_suitable', 0.2], ['action_breach_policy', 0.2]]"
5,no_116_enterprise agreement no   Industrial Relations Commission_data.json,[],[]
6,no_11_Doing good every day   George Weston Foods_data.json,"[['business_unit', 1.0], ['supply_chain', 0.7391304347826086], ['tip_top', 0.6956521739130435], ['climate_change', 0.43478260869565216], ['diversity_inclusion', 0.391304347826087], ['leadership_team', 0.30434782608695654], ['bread_tag', 0.2608695652173913], ['code_conduct', 0.2608695652173913], ['environmental_impact', 0.2608695652173913], ['food_safety', 0.2608695652173913], ['health_star', 0.2608695652173913], ['local_community', 0.2608695652173913], ['modern_slavery', 0.2608695652173913], ['parent_company', 0.2608695652173913], ['approach_sustainability', 0.21739130434782608], ['focus_area', 0.21739130434782608], ['greenhouse_gas', 0.21739130434782608], ['moment_goodness', 0.21739130434782608], ['palm_oil', 0.21739130434782608], ['safety_quality', 0.21739130434782608], ['star_rating', 0.21739130434782608], ['sustainable_future', 0.21739130434782608], ['community_environment', 0.17391304347826086], ['community_most', 0.17391304347826086], ['continuous_improvement', 0.17391304347826086], ['diverse_workforce', 0.17391304347826086], ['energy_ciency', 0.17391304347826086], ['equivalent_meal', 0.17391304347826086], ['everyday_moment', 0.17391304347826086], ['gas_emission', 0.17391304347826086], ['high_quality', 0.17391304347826086], ['inclusive_workplace', 0.17391304347826086], ['more_loaf', 0.17391304347826086], ['operating_model', 0.17391304347826086], ['people_community', 0.17391304347826086], ['responsible_code', 0.17391304347826086], ['safe_high', 0.17391304347826086], ['safety_environment', 0.17391304347826086], ['sustainable_packaging', 0.17391304347826086], ['sustainable_palm', 0.17391304347826086], ['tonne_production', 0.17391304347826086], ['unit_sustainability', 0.17391304347826086], ['waste_land', 0.17391304347826086], ['animal_welfare', 0.13043478260869565], ['australian_food', 0.13043478260869565], ['brand_product', 0.13043478260869565], ['business_model', 0.13043478260869565], ['cent_recycled', 0.13043478260869565], ['clean_energy', 0.13043478260869565], ['community_group', 0.13043478260869565]]","[['food_safety_quality', 1.0], ['everyday_moment_goodness', 0.7999999999999999], ['greenhouse_gas_emission', 0.7999999999999999], ['health_star_rating', 0.7999999999999999], ['safe_high_quality', 0.7999999999999999], ['sustainable_palm_oil', 0.7999999999999999], ['business_unit_level', 0.6], ['business_unit_sustainability', 0.6], ['cent_recycled_recyclable', 0.6], ['community_most_need', 0.6], ['group_leadership_team', 0.6], ['more_loaf_bread', 0.6], ['anti_bribery_corruption', 0.39999999999999997], ['australian_council_grain', 0.39999999999999997], ['australian_new_zealander', 0.39999999999999997], ['australian_pork_industry', 0.39999999999999997], ['bioenergy_waste_facility', 0.39999999999999997], ['business_many_year', 0.39999999999999997], ['business_supply_chain', 0.39999999999999997], ['business_sustainable_future', 0.39999999999999997], ['business_unit_community', 0.39999999999999997], ['business_unit_diversity', 0.39999999999999997], ['cent_recyclable_reusable', 0.39999999999999997], ['center_sustainable_palm', 0.39999999999999997], ['chain_local_international', 0.39999999999999997], ['chain_people_community', 0.39999999999999997], ['charity_community_group', 0.39999999999999997], ['code_conduct_responsible', 0.39999999999999997], ['diversity_inclusion_index', 0.39999999999999997], ['employee_owner_business', 0.39999999999999997], ['energy_use_emission', 0.39999999999999997], ['enjoyment_customer_satisfaction', 0.39999999999999997], ['entire_workforce_community', 0.39999999999999997], ['environmental_impact_natural', 0.39999999999999997], ['ethical_responsible_sustainable', 0.39999999999999997], ['example_tip_top', 0.39999999999999997], ['food_grocery_industry', 0.39999999999999997], ['force_financial_climate', 0.39999999999999997], ['health_safety_environment', 0.39999999999999997], ['high_quality_product', 0.39999999999999997], ['household_food_brand', 0.39999999999999997], ['hunger_relief_organisation', 0.39999999999999997], ['impact_natural_resource', 0.39999999999999997], ['improvement_enjoyment_customer', 0.39999999999999997], ['inclusive_team_education', 0.39999999999999997], ['inclusive_workplace_people', 0.39999999999999997], ['individual_business_unit', 0.39999999999999997], ['industry_quality_assurance', 0.39999999999999997], ['integration_renewable_energy', 0.39999999999999997], ['international_standard_animal', 0.39999999999999997]]"
7,no_121_Responsible Sourcing Code of Conduct   George Weston Foods_data.json,"[['responsible_code', 1.0], ['supplier_representative', 1.0], ['palm_oil', 0.5555555555555556], ['code_conduct', 0.4444444444444445], ['supplier_supplier', 0.4444444444444445], ['worker_supplier', 0.4444444444444445], ['account_manager', 0.3333333333333333], ['bribery_corruption', 0.3333333333333333], ['government_official', 0.3333333333333333], ['high_standard', 0.3333333333333333], ['national_law', 0.3333333333333333], ['product_service', 0.3333333333333333], ['supply_chain', 0.3333333333333333], ['age_child', 0.22222222222222224], ['age_law', 0.22222222222222224], ['animal_welfare', 0.22222222222222224], ['anti_bribery', 0.22222222222222224], ['basic_need', 0.22222222222222224], ['breach_responsible', 0.22222222222222224], ['capital_work', 0.22222222222222224], ['child_labour', 0.22222222222222224], ['collective_bargaining', 0.22222222222222224], ['customer_public', 0.22222222222222224], ['deduction_wage', 0.22222222222222224], ['disciplinary_measure', 0.22222222222222224], ['employee_contractor', 0.22222222222222224], ['employee_supplier', 0.22222222222222224], ['environmental_management', 0.22222222222222224], ['expolink_expolink', 0.22222222222222224], ['facilitation_payment', 0.22222222222222224], ['family_potential', 0.22222222222222224], ['fit_purpose', 0.22222222222222224], ['health_safety', 0.22222222222222224], ['illegal_labour', 0.22222222222222224], ['information_course', 0.22222222222222224], ['local_minimum', 0.22222222222222224], ['member_family', 0.22222222222222224], ['minimum_age', 0.22222222222222224], ['physical_abuse', 0.22222222222222224], ['potential_customer', 0.22222222222222224], ['product_quality', 0.22222222222222224], ['public_government', 0.22222222222222224], ['representative_supplier', 0.22222222222222224], ['respect_order', 0.22222222222222224], ['safe_hygienic', 0.22222222222222224], ['supplier_employee', 0.22222222222222224], ['supplier_product', 0.22222222222222224], ['sustainable_palm', 0.22222222222222224], ['trade_union', 0.22222222222222224], ['young_person', 0.22222222222222224]]","[['responsible_code_conduct', 1.0], ['worker_supplier_supplier', 1.0], ['breach_responsible_code', 0.6666666666666667], ['customer_public_government', 0.6666666666666667], ['family_potential_customer', 0.6666666666666667], ['local_minimum_age', 0.6666666666666667], ['member_family_potential', 0.6666666666666667], ['minimum_age_law', 0.6666666666666667], ['potential_customer_public', 0.6666666666666667], ['public_government_official', 0.6666666666666667], ['sustainable_palm_oil', 0.6666666666666667], ['able_compliance_current', 0.33333333333333337], ['absolute_discretion_employment', 0.33333333333333337], ['abuse_form_intimidation', 0.33333333333333337], ['abuse_sexual_harassment', 0.33333333333333337], ['abuse_threat_physical', 0.33333333333333337], ['accepting_bribe_back', 0.33333333333333337], ['access_land_natural', 0.33333333333333337], ['access_promotion_termination', 0.33333333333333337], ['access_representative_function', 0.33333333333333337], ['access_toilet_facility', 0.33333333333333337], ['accident_injury_health', 0.33333333333333337], ['accommodation_provide_clean', 0.33333333333333337], ['accordance_country_exception', 0.33333333333333337], ['account_manager_business', 0.33333333333333337], ['account_manager_independent', 0.33333333333333337], ['account_manager_reason', 0.33333333333333337], ['acquisition_principle_free', 0.33333333333333337], ['actio_such_provision', 0.33333333333333337], ['action_condition_compliance', 0.33333333333333337], ['action_reserve_right', 0.33333333333333337], ['activity_environmental_review', 0.33333333333333337], ['activity_orker_representative', 0.33333333333333337], ['activity_responsible_professional', 0.33333333333333337], ['activity_trade_union', 0.33333333333333337], ['actual_breach_responsible', 0.33333333333333337], ['additional_requirement_supplier', 0.33333333333333337], ['adequate_control_agency', 0.33333333333333337], ['adequate_step_accident', 0.33333333333333337], ['advantage_business_government', 0.33333333333333337], ['advantage_recipient_improper', 0.33333333333333337], ['affiliation_regular_employment', 0.33333333333333337], ['age_accordance_country', 0.33333333333333337], ['age_child_age', 0.33333333333333337], ['age_child_young', 0.33333333333333337], ['age_law_work', 0.33333333333333337], ['age_law_year', 0.33333333333333337], ['age_physical_mental', 0.33333333333333337], ['age_young_person', 0.33333333333333337], ['agency_employment_labour', 0.33333333333333337]]"
8,no_122_AUSTRALIAN FOOD   DRINk COMPANIES   Yaffa Media_data.json,"[['ˆˆˆˇ_ˆˆˆˇ', 1.0], ['ˆˆ_ˆˆˆˇ', 0.2105263157894737], ['ˆˆˆˇ_ˆˆ', 0.10526315789473685], ['ˆˆˆˇ_ˇł', 0.10526315789473685], ['ˇł_ˆˆˆˇ', 0.10526315789473685], ['sƒ_ˆˆˆˇ', 0.052631578947368425], ['sˇˆ_ˆˆˆˇ', 0.052631578947368425], ['zıˆˇˇˆ_ˆˆˆˇ', 0.052631578947368425], ['ˆs_ˆˆƒ', 0.052631578947368425], ['ˆs_ˆˆˆˇ', 0.052631578947368425], ['ˆsˆˇ_ˆs', 0.052631578947368425], ['ˆˆ_ˆˆ', 0.052631578947368425], ['ˆˆ_ˇˆˆˆ', 0.052631578947368425], ['ˆˆł_ˆˆˆˇ', 0.052631578947368425], ['ˆˆœ_ˆˆˆˇ', 0.052631578947368425], ['ˆˆƒ_ˆsˆˇ', 0.052631578947368425], ['ˆˆƒ_ˆˆ', 0.052631578947368425], ['ˆˆˆ_ˆˆ', 0.052631578947368425], ['ˆˆˆˆ_ˆˆł', 0.052631578947368425], ['ˆˆˆˇ_ˆs', 0.052631578947368425], ['ˆˆˆˇ_ˆˆœ', 0.052631578947368425], ['ˆˆˆˇ_ˆˆƒ', 0.052631578947368425], ['ˆˆˆˇ_ˆˆˆ', 0.052631578947368425], ['ˆˆˆˇ_ˆˇˆˇ', 0.052631578947368425], ['ˆˆˆˇ_ˆˇˇ', 0.052631578947368425], ['ˆˆˆˇ_ˆˇˇˆˇ', 0.052631578947368425], ['ˆˆˆˇ_ˇˆ', 0.052631578947368425], ['ˆˆˆˇ_ˇˇˇs', 0.052631578947368425], ['ˆˇˆˇ_sƒ', 0.052631578947368425], ['ˆˇˇ_sˇˆ', 0.052631578947368425], ['ˆˇˇˆˇ_ˆˆˆˇ', 0.052631578947368425], ['ˇˆ_zıˆˇˇˆ', 0.052631578947368425], ['ˇˆˆˆ_ˆˆˆˆ', 0.052631578947368425]]","[['ˆˆˆˇ_ˆˆˆˇ_ˆˆˆˇ', 1.0], ['ˆˆˆˇ_ˆˆˆˇ_ˆˆ', 0.16666666666666666], ['ˆˆˆˇ_ˇł_ˆˆˆˇ', 0.16666666666666666], ['ˇł_ˆˆˆˇ_ˆˆˆˇ', 0.16666666666666666], ['sƒ_ˆˆˆˇ_ˇł', 0.08333333333333333], ['sˇˆ_ˆˆˆˇ_ˆs', 0.08333333333333333], ['zıˆˇˇˆ_ˆˆˆˇ_ˆˆˆˇ', 0.08333333333333333], ['ˆs_ˆˆƒ_ˆˆ', 0.08333333333333333], ['ˆs_ˆˆˆˇ_ˆˆˆˇ', 0.08333333333333333], ['ˆsˆˇ_ˆs_ˆˆƒ', 0.08333333333333333], ['ˆˆ_ˆˆ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆ_ˆˆˆˇ_ˆˆœ', 0.08333333333333333], ['ˆˆ_ˆˆˆˇ_ˆˆƒ', 0.08333333333333333], ['ˆˆ_ˆˆˆˇ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆ_ˇˆˆˆ_ˆˆˆˆ', 0.08333333333333333], ['ˆˆł_ˆˆˆˇ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆœ_ˆˆˆˇ_ˆˆˆ', 0.08333333333333333], ['ˆˆƒ_ˆsˆˇ_ˆs', 0.08333333333333333], ['ˆˆƒ_ˆˆ_ˇˆˆˆ', 0.08333333333333333], ['ˆˆˆ_ˆˆ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆˆˆ_ˆˆł_ˆˆˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆs_ˆˆˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆ_ˆˆ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆœ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆƒ_ˆsˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆˆ_ˆˆ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆˆˇ_ˆˇˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆˆˇ_ˆˇˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆˆˇ_ˆˇˇˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆˆˇ_ˇˆ', 0.08333333333333333], ['ˆˆˆˇ_ˆˆˆˇ_ˇˇˇs', 0.08333333333333333], ['ˆˆˆˇ_ˆˇˆˇ_sƒ', 0.08333333333333333], ['ˆˆˆˇ_ˆˇˇ_sˇˆ', 0.08333333333333333], ['ˆˆˆˇ_ˆˇˇˆˇ_ˆˆˆˇ', 0.08333333333333333], ['ˆˆˆˇ_ˇˆ_zıˆˇˇˆ', 0.08333333333333333], ['ˆˆˆˇ_ˇˇˇs_ˆˆ', 0.08333333333333333], ['ˆˇˆˇ_sƒ_ˆˆˆˇ', 0.08333333333333333], ['ˆˇˇ_sˇˆ_ˆˆˆˇ', 0.08333333333333333], ['ˆˇˇˆˇ_ˆˆˆˇ_ˇł', 0.08333333333333333], ['ˇˆ_zıˆˇˇˆ_ˆˆˆˇ', 0.08333333333333333], ['ˇˆˆˆ_ˆˆˆˆ_ˆˆł', 0.08333333333333333]]"
9,no_126_Annual Report 2018   Australian Network on Disability_data.json,"[['people_disability', 1.0], ['access_inclusion', 0.40476190476190477], ['australian_network', 0.21428571428571427], ['inclusion_people', 0.21428571428571427], ['growth_job', 0.16666666666666666], ['high_growth', 0.16666666666666666], ['inclusion_plan', 0.16666666666666666], ['network_disability', 0.16666666666666666], ['team_member', 0.16666666666666666], ['employment_people', 0.14285714285714285], ['human_resource', 0.14285714285714285], ['disability_employer', 0.11904761904761905], ['diversity_inclusion', 0.11904761904761905], ['end_era', 0.11904761904761905], ['inclusion_index', 0.11904761904761905], ['member_organisation', 0.11904761904761905], ['network_member', 0.11904761904761905], ['workplace_adjustment', 0.11904761904761905], ['year_experience', 0.11904761904761905], ['action_plan', 0.09523809523809525], ['adjustment_policy', 0.09523809523809525], ['disability_champion', 0.09523809523809525], ['disability_employment', 0.09523809523809525], ['disability_network', 0.09523809523809525], ['employee_disability', 0.09523809523809525], ['employer_project', 0.09523809523809525], ['inclusive_accessible', 0.09523809523809525], ['jobseeker_disability', 0.09523809523809525], ['policy_procedure', 0.09523809523809525], ['victorian_employer', 0.09523809523809525], ['aspect_business', 0.07142857142857142], ['board_member', 0.07142857142857142], ['business_disability', 0.07142857142857142], ['corporate_governance', 0.07142857142857142], ['design_dignity', 0.07142857142857142], ['disability_aspect', 0.07142857142857142], ['economic_social', 0.07142857142857142], ['job_talented', 0.07142857142857142], ['knowledge_experience', 0.07142857142857142], ['life_balance', 0.07142857142857142], ['member_growth', 0.07142857142857142], ['member_large', 0.07142857142857142], ['member_member', 0.07142857142857142], ['member_roundtable', 0.07142857142857142], ['more_year', 0.07142857142857142], ['national_conference', 0.07142857142857142], ['organisation_access', 0.07142857142857142], ['pace_program', 0.07142857142857142], ['public_sector', 0.07142857142857142], ['self_assessment', 0.07142857142857142]]","[['inclusion_people_disability', 1.0], ['australian_network_disability', 0.8749999999999999], ['high_growth_job', 0.8749999999999999], ['access_inclusion_index', 0.625], ['access_inclusion_plan', 0.625], ['employment_people_disability', 0.625], ['victorian_employer_project', 0.5], ['workplace_adjustment_policy', 0.5], ['adjustment_policy_procedure', 0.375], ['disability_aspect_business', 0.375], ['growth_job_talented', 0.375], ['job_talented_candidate', 0.375], ['organisation_access_inclusion', 0.375], ['people_disability_employer', 0.375], ['work_life_balance', 0.375], ['year_member_growth', 0.375], ['accessibility_action_plan', 0.25], ['approach_employment_people', 0.25], ['australia_people_disability', 0.25], ['business_disability_network', 0.25], ['candidate_high_growth', 0.25], ['capability_employee_disability', 0.25], ['customer_employee_disability', 0.25], ['disability_employee_network', 0.25], ['disability_employment_service', 0.25], ['disability_network_member', 0.25], ['disabled_people_organisation', 0.25], ['economic_social_cultural', 0.25], ['employer_people_disability', 0.25], ['enterprise_wide_approach', 0.25], ['growth_job_project', 0.25], ['health_social_assistance', 0.25], ['human_resource_diversity', 0.25], ['inclusion_plan_advice', 0.25], ['income_membership_program', 0.25], ['member_access_inclusion', 0.25], ['more_year_experience', 0.25], ['people_disability_board', 0.25], ['private_public_sector', 0.25], ['program_team_member', 0.25], ['project_high_growth', 0.25], ['record_year_member', 0.25], ['recruitment_review_member', 0.25], ['skilled_talented_people', 0.25], ['talented_candidate_high', 0.25], ['talented_people_disability', 0.25], ['team_member_customer', 0.25], ['team_member_experience', 0.25], ['university_student_disability', 0.25], ['wide_approach_employment', 0.25]]"
