,file_names,bi_grams,tri_grams
0,no_108_2020 Annual Report   Action Plan   Australian Packaging    _data.json,[],[]
1,no_126_Nestlé Australia Ltd   Australian Competition and Consumer    _data.json,[],[]
2,no_12_Sustainable Investment Report   Schroders_data.json,"[['climate_change', 1.0], ['long_term', 0.9545454545454544], ['sustainable_investment', 0.909090909090909], ['real_estate', 0.6818181818181818], ['fund_manager', 0.6363636363636362], ['investment_team', 0.5909090909090908], ['responsible_investment', 0.5227272727272727], ['asset_class', 0.43181818181818177], ['corporate_governance', 0.43181818181818177], ['investment_process', 0.38636363636363635], ['year_investment', 0.3409090909090909], ['fossil_fuel', 0.3181818181818181], ['source_schroder', 0.3181818181818181], ['voting_activity', 0.3181818181818181], ['good_practice', 0.2727272727272727], ['investment_desk', 0.2727272727272727], ['climate_progress', 0.25], ['company_engagement', 0.25], ['company_management', 0.25], ['case_study', 0.22727272727272724], ['engagement_activity', 0.22727272727272724], ['risk_opportunity', 0.22727272727272724], ['stewardship_activity', 0.22727272727272724], ['thematic_research', 0.22727272727272724], ['asset_management', 0.20454545454545453], ['company_business', 0.20454545454545453], ['engagement_company', 0.20454545454545453], ['engagement_voting', 0.20454545454545453], ['environmental_social', 0.20454545454545453], ['investment_analyst', 0.20454545454545453], ['proxy_voting', 0.20454545454545453], ['public_policy', 0.20454545454545453], ['stewardship_investment', 0.20454545454545453], ['business_model', 0.18181818181818182], ['company_issue', 0.18181818181818182], ['integration_practice', 0.18181818181818182], ['investment_decision', 0.18181818181818182], ['social_performance', 0.18181818181818182], ['temperature_rise', 0.18181818181818182], ['term_value', 0.18181818181818182], ['wealth_management', 0.18181818181818182], ['climate_action', 0.15909090909090906], ['collaborative_engagement', 0.15909090909090906], ['company_long', 0.15909090909090906], ['company_meeting', 0.15909090909090906], ['good_interest', 0.15909090909090906], ['impact_company', 0.15909090909090906], ['investment_sustainable', 0.15909090909090906], ['multi_sector', 0.15909090909090906], ['progress_dashboard', 0.15909090909090906]]","[['sustainable_investment_team', 1.0], ['long_term_value', 0.5333333333333333], ['climate_progress_dashboard', 0.4666666666666666], ['company_long_term', 0.4666666666666666], ['long_run_temperature', 0.39999999999999997], ['schroder_real_estate', 0.39999999999999997], ['sustainable_investment_analyst', 0.39999999999999997], ['investment_sustainable_investment', 0.33333333333333326], ['long_term_sustainable', 0.33333333333333326], ['client_focus_year', 0.26666666666666666], ['company_business_model', 0.26666666666666666], ['corporate_governance_analyst', 0.26666666666666666], ['focus_year_investment', 0.26666666666666666], ['global_head_stewardship', 0.26666666666666666], ['good_interest_client', 0.26666666666666666], ['holding_same_company', 0.26666666666666666], ['issue_long_term', 0.26666666666666666], ['real_estate_investment', 0.26666666666666666], ['run_temperature_rise', 0.26666666666666666], ['social_performance_management', 0.26666666666666666], ['sustainable_investment_report', 0.26666666666666666], ['year_investment_sustainable', 0.26666666666666666], ['active_fund_manager', 0.19999999999999998], ['analyst_fund_manager', 0.19999999999999998], ['asset_class_portfolio', 0.19999999999999998], ['category_source_schroder', 0.19999999999999998], ['change_consumer_usage', 0.19999999999999998], ['client_integration_practice', 0.19999999999999998], ['climate_change_investor', 0.19999999999999998], ['company_sector_region', 0.19999999999999998], ['company_value_chain', 0.19999999999999998], ['corporate_governance_engagement', 0.19999999999999998], ['creation_shareholder_value', 0.19999999999999998], ['desk_asset_class', 0.19999999999999998], ['disruption_climate_change', 0.19999999999999998], ['engagement_proxy_voting', 0.19999999999999998], ['engagement_voting_activity', 0.19999999999999998], ['environmental_social_governance', 0.19999999999999998], ['fossil_fuel_divestment', 0.19999999999999998], ['global_carbon_emission', 0.19999999999999998], ['global_investor_study', 0.19999999999999998], ['global_multi_sector', 0.19999999999999998], ['greenhouse_gas_emission', 0.19999999999999998], ['impact_company_operation', 0.19999999999999998], ['incentive_company_long', 0.19999999999999998], ['interest_shareholder_client', 0.19999999999999998], ['investment_desk_asset', 0.19999999999999998], ['investor_muni_market', 0.19999999999999998], ['issue_climate_change', 0.19999999999999998], ['long_term_performance', 0.19999999999999998]]"
3,no_133_Signatory Name  Nestlé Australia Limited   White Pages_data.json,[],[]
4,no_138_SUSTAINABLE   ACFID  _data.json,"[['sustainable_procurement', 1.0], ['current_state', 0.5833333333333334], ['global_overview', 0.5833333333333334], ['organisational_threat', 0.5833333333333334], ['state_global', 0.5833333333333334], ['useful_information', 0.5833333333333334], ['relevant_sdgs', 0.5], ['business_case', 0.4166666666666667], ['case_sustainable', 0.4166666666666667], ['labour_practice', 0.4166666666666667], ['community_involvement', 0.25], ['human_right', 0.25], ['involvement_development', 0.25], ['sdgs_useful', 0.25], ['supply_chain', 0.25], ['sustainable_product', 0.25], ['threat_opportunity', 0.25], ['accountable_transparent', 0.16666666666666669], ['australian_competition', 0.16666666666666669], ['carbon_emission', 0.16666666666666669], ['community_sustainable', 0.16666666666666669], ['fair_competition', 0.16666666666666669], ['fair_operating', 0.16666666666666669], ['health_safety', 0.16666666666666669], ['institution_level', 0.16666666666666669], ['level_useful', 0.16666666666666669], ['natural_habitat', 0.16666666666666669], ['operating_practice', 0.16666666666666669], ['organisational_governance', 0.16666666666666669], ['practice_productivity', 0.16666666666666669], ['product_service', 0.16666666666666669], ['resource_use', 0.16666666666666669], ['social_enterprise', 0.16666666666666669], ['social_trader', 0.16666666666666669], ['sustainable_development', 0.16666666666666669], ['sustainable_resource', 0.16666666666666669], ['academic_benefit', 0.08333333333333334], ['access_essential', 0.08333333333333334], ['act_educational', 0.08333333333333334], ['act_employee', 0.08333333333333334], ['act_modern', 0.08333333333333334], ['addition_barrier', 0.08333333333333334], ['aicd_aicd', 0.08333333333333334], ['aicd_environment', 0.08333333333333334], ['airport_only', 0.08333333333333334], ['airport_working', 0.08333333333333334], ['anti_competitive', 0.08333333333333334], ['anti_corruption', 0.08333333333333334], ['area_attention', 0.08333333333333334], ['attention_many', 0.08333333333333334]]","[['current_state_global', 1.0], ['state_global_overview', 1.0], ['case_sustainable_procurement', 0.7142857142857142], ['business_case_sustainable', 0.5714285714285714], ['community_involvement_development', 0.4285714285714285], ['organisational_threat_opportunity', 0.4285714285714285], ['relevant_sdgs_useful', 0.4285714285714285], ['sdgs_useful_information', 0.4285714285714285], ['fair_operating_practice', 0.2857142857142857], ['labour_practice_productivity', 0.2857142857142857], ['level_useful_information', 0.2857142857142857], ['sustainable_product_service', 0.2857142857142857], ['sustainable_resource_use', 0.2857142857142857], ['academic_benefit_business', 0.14285714285714285], ['access_essential_service', 0.14285714285714285], ['accountable_transparent_compliant', 0.14285714285714285], ['accountable_transparent_institution', 0.14285714285714285], ['act_educational_purpose', 0.14285714285714285], ['act_employee_constitutional', 0.14285714285714285], ['act_modern_organisational', 0.14285714285714285], ['addition_barrier_business', 0.14285714285714285], ['aicd_aicd_environment', 0.14285714285714285], ['aicd_environment_environment', 0.14285714285714285], ['airport_only_hour', 0.14285714285714285], ['airport_working_condition', 0.14285714285714285], ['anti_competitive_conduct', 0.14285714285714285], ['anti_corruption_fair', 0.14285714285714285], ['area_attention_many', 0.14285714285714285], ['attention_many_organisation', 0.14285714285714285], ['attract_talent_staff', 0.14285714285714285], ['australian_competition_competition', 0.14285714285714285], ['australian_competition_law', 0.14285714285714285], ['australian_consumer_australian', 0.14285714285714285], ['australian_fair_operating', 0.14285714285714285], ['australian_level_report', 0.14285714285714285], ['australian_privacy_law', 0.14285714285714285], ['australian_public_sector', 0.14285714285714285], ['avoid_disruption_enhance', 0.14285714285714285], ['avoidance_complicity_resolving', 0.14285714285714285], ['awareness_positive_publicity', 0.14285714285714285], ['background_accountable_transparent', 0.14285714285714285], ['background_creation_response', 0.14285714285714285], ['background_due_diligence', 0.14285714285714285], ['barometer_sustainable_brand', 0.14285714285714285], ['barrier_business_cost', 0.14285714285714285], ['benefit_business_case', 0.14285714285714285], ['bid_reconstruction_year', 0.14285714285714285], ['biodiversity_restoration_natural', 0.14285714285714285], ['body_reputation_reputable', 0.14285714285714285], ['border_scale_national', 0.14285714285714285]]"
5,no_13_Australian Council of Superannuation Investors   University of    _data.json,"[['board_evaluation', 1.0], ['corporate_governance', 0.41111111111111115], ['board_performance', 0.35000000000000003], ['evaluation_process', 0.2555555555555556], ['individual_director', 0.23333333333333334], ['effectiveness_performance', 0.20555555555555557], ['board_effectiveness', 0.18333333333333335], ['evaluation_board', 0.18333333333333335], ['self_evaluation', 0.16666666666666669], ['board_member', 0.16111111111111112], ['director_board', 0.16111111111111112], ['fund_manager', 0.15555555555555556], ['performance_evaluation', 0.15555555555555556], ['board_committee', 0.13888888888888892], ['board_director', 0.13888888888888892], ['board_board', 0.1277777777777778], ['performance_board', 0.1277777777777778], ['process_board', 0.12222222222222223], ['effective_board', 0.11111111111111112], ['board_process', 0.1], ['company_board', 0.1], ['annual_report', 0.09444444444444446], ['company_director', 0.09444444444444446], ['financial_crisis', 0.08888888888888889], ['management_board', 0.08888888888888889], ['non_executive', 0.08888888888888889], ['senior_management', 0.08888888888888889], ['external_consultant', 0.08333333333333334], ['outcome_board', 0.08333333333333334], ['annual_self', 0.07777777777777778], ['executive_director', 0.07777777777777778], ['australian_company', 0.07222222222222223], ['information_board', 0.07222222222222223], ['large_company', 0.07222222222222223], ['performance_director', 0.07222222222222223], ['committee_individual', 0.06666666666666667], ['company_performance', 0.06666666666666667], ['global_financial', 0.06666666666666667], ['good_practice', 0.06666666666666667], ['performance_company', 0.06666666666666667], ['board_management', 0.061111111111111116], ['board_meeting', 0.061111111111111116], ['director_evaluation', 0.061111111111111116], ['evaluation_company', 0.061111111111111116], ['evaluation_evaluation', 0.061111111111111116], ['company_secretary', 0.05555555555555556], ['evaluation_year', 0.05555555555555556], ['independent_consultant', 0.05555555555555556], ['long_term', 0.05555555555555556], ['risk_management', 0.05555555555555556]]","[['board_evaluation_process', 1.0], ['board_effectiveness_performance', 0.7999999999999999], ['annual_self_evaluation', 0.5599999999999999], ['outcome_board_evaluation', 0.52], ['global_financial_crisis', 0.4799999999999999], ['process_board_evaluation', 0.4799999999999999], ['committee_individual_director', 0.39999999999999997], ['non_executive_director', 0.39999999999999997], ['board_committee_individual', 0.35999999999999993], ['director_fund_manager', 0.35999999999999993], ['self_evaluation_board', 0.35999999999999993], ['board_evaluation_board', 0.31999999999999995], ['disclosure_board_evaluation', 0.31999999999999995], ['evaluation_process_board', 0.27999999999999997], ['information_board_evaluation', 0.27999999999999997], ['board_self_evaluation', 0.23999999999999996], ['corporate_governance_code', 0.23999999999999996], ['corporate_governance_guideline', 0.23999999999999996], ['director_board_evaluation', 0.23999999999999996], ['individual_director_board', 0.23999999999999996], ['performance_board_committee', 0.23999999999999996], ['board_board_effectiveness', 0.19999999999999998], ['board_evaluation_evaluation', 0.19999999999999998], ['board_evaluation_performance', 0.19999999999999998], ['board_individual_director', 0.19999999999999998], ['company_director_fund', 0.19999999999999998], ['corporate_governance_committee', 0.19999999999999998], ['corporate_governance_principle', 0.19999999999999998], ['effective_board_evaluation', 0.19999999999999998], ['effective_board_performance', 0.19999999999999998], ['evaluation_corporate_governance', 0.19999999999999998], ['process_performance_board', 0.19999999999999998], ['annual_board_evaluation', 0.15999999999999998], ['annual_performance_evaluation', 0.15999999999999998], ['board_corporate_governance', 0.15999999999999998], ['board_evaluation_corporate', 0.15999999999999998], ['board_evaluation_year', 0.15999999999999998], ['board_performance_company', 0.15999999999999998], ['board_performance_effectiveness', 0.15999999999999998], ['board_performance_evaluation', 0.15999999999999998], ['company_board_evaluation', 0.15999999999999998], ['company_corporate_governance', 0.15999999999999998], ['crisis_board_evaluation', 0.15999999999999998], ['evaluation_board_committee', 0.15999999999999998], ['evaluation_board_evaluation', 0.15999999999999998], ['financial_crisis_board', 0.15999999999999998], ['high_performing_board', 0.15999999999999998], ['industry_summary_board', 0.15999999999999998], ['issue_board_evaluation', 0.15999999999999998], ['performance_evaluation_board', 0.15999999999999998]]"
6,no_140_mallesons stephen jaques   Australian Competition and    _data.json,[],[]
7,no_142_Human rights and Australian listed companies   Australasian    _data.json,"[['human_right', 1.0], ['supply_chain', 0.22829581993569129], ['australian_company', 0.19935691318327972], ['measurement_theme', 0.10932475884244372], ['business_human', 0.10289389067524114], ['right_risk', 0.09967845659163986], ['company_human', 0.08360128617363344], ['grievance_mechanism', 0.08360128617363344], ['due_diligence', 0.07395498392282956], ['right_impact', 0.07395498392282956], ['right_issue', 0.07395498392282956], ['corporate_human', 0.06430868167202572], ['medical_supply', 0.061093247588424424], ['asx_company', 0.05787781350482314], ['company_company', 0.05787781350482314], ['supply_company', 0.05787781350482314], ['extractive_operation', 0.05466237942122186], ['percentage_score', 0.05466237942122186], ['voluntary_principle', 0.05144694533762057], ['company_agricultural', 0.04823151125401929], ['extractive_sector', 0.04823151125401929], ['operation_company', 0.04823151125401929], ['policy_commitment', 0.04823151125401929], ['company_operation', 0.045016077170418], ['human_trafficking', 0.04180064308681672], ['manufacturing_operation', 0.04180064308681672], ['right_due', 0.04180064308681672], ['value_chain', 0.04180064308681672], ['http_www', 0.03858520900321543], ['metal_group', 0.03858520900321543], ['oil_search', 0.03858520900321543], ['own_operation', 0.03858520900321543], ['principle_business', 0.03858520900321543], ['right_abuse', 0.03858520900321543], ['annual_report', 0.03536977491961415], ['company_extractive', 0.03536977491961415], ['extractive_industry', 0.03536977491961415], ['oil_gas', 0.03536977491961415], ['score_company', 0.03536977491961415], ['sector_company', 0.03536977491961415], ['adverse_human', 0.03215434083601286], ['commitment_human', 0.03215434083601286], ['company_global', 0.03215434083601286], ['corporate_citizenship', 0.03215434083601286], ['default_file', 0.03215434083601286], ['good_corporate', 0.03215434083601286], ['industry_specific', 0.03215434083601286], ['living_wage', 0.03215434083601286], ['production_manufacturing', 0.03215434083601286], ['security_human', 0.03215434083601286]]","[['business_human_right', 1.0], ['human_right_risk', 0.9677419354838711], ['company_human_right', 0.838709677419355], ['human_right_impact', 0.6774193548387097], ['human_right_issue', 0.6774193548387097], ['corporate_human_right', 0.6451612903225806], ['medical_supply_company', 0.45161290322580644], ['human_right_abuse', 0.3870967741935484], ['human_right_due', 0.3870967741935484], ['principle_business_human', 0.3548387096774194], ['right_due_diligence', 0.3548387096774194], ['adverse_human_right', 0.3225806451612903], ['good_corporate_citizenship', 0.3225806451612903], ['commitment_human_right', 0.2903225806451613], ['corporate_citizenship_initiative', 0.2903225806451613], ['human_right_commitment', 0.2903225806451613], ['own_production_manufacturing', 0.2903225806451613], ['principle_security_human', 0.2903225806451613], ['production_manufacturing_operation', 0.2903225806451613], ['security_human_right', 0.2903225806451613], ['slavery_human_trafficking', 0.2903225806451613], ['voluntary_principle_security', 0.2903225806451613], ['total_percentage_score', 0.25806451612903225], ['human_right_australian', 0.22580645161290322], ['human_right_policy', 0.22580645161290322], ['human_right_practice', 0.22580645161290322], ['own_extractive_operation', 0.22580645161290322], ['respect_human_right', 0.22580645161290322], ['responsibility_human_right', 0.22580645161290322], ['right_supply_chain', 0.22580645161290322], ['score_measurement_theme', 0.22580645161290322], ['channel_mechanism_complaint', 0.1935483870967742], ['company_measurement_theme', 0.1935483870967742], ['global_supply_chain', 0.1935483870967742], ['grievance_channel_mechanism', 0.1935483870967742], ['human_right_company', 0.1935483870967742], ['impact_human_right', 0.1935483870967742], ['mechanism_complaint_concern', 0.1935483870967742], ['negative_human_right', 0.1935483870967742], ['performance_company_human', 0.1935483870967742], ['slavery_supply_chain', 0.1935483870967742], ['australian_company_international', 0.16129032258064516], ['business_supply_chain', 0.16129032258064516], ['company_engagement_survey', 0.16129032258064516], ['corporate_initiative_human', 0.16129032258064516], ['human_right_concern', 0.16129032258064516], ['human_right_labour', 0.16129032258064516], ['right_australian_company', 0.16129032258064516], ['age_verification_corrective', 0.12903225806451613], ['apparel_extractive_industry', 0.12903225806451613]]"
8,no_14_ESOPRUP   Shared Value Project_data.json,"[['company_purpose', 1.0], ['purpose_company', 0.9090909090909092], ['value_ort', 0.8484848484848486], ['value_strategy', 0.6363636363636365], ['social_environmental', 0.5757575757575758], ['internal_external', 0.5151515151515151], ['value_creation', 0.4848484848484849], ['company_value', 0.4545454545454546], ['purpose_playbook', 0.4545454545454546], ['goal_resource', 0.4242424242424243], ['long_term', 0.4242424242424243], ['purpose_value', 0.4242424242424243], ['value_practitioner', 0.4242424242424243], ['shared_value', 0.393939393939394], ['value_chain', 0.36363636363636365], ['value_goal', 0.36363636363636365], ['culture_value', 0.33333333333333337], ['model_cooperation', 0.33333333333333337], ['new_model', 0.33333333333333337], ['strategy_goal', 0.33333333333333337], ['value_practice', 0.33333333333333337], ['business_value', 0.30303030303030304], ['organizational_design', 0.30303030303030304], ['practice_action', 0.30303030303030304], ['practice_value', 0.30303030303030304], ['strategy_operation', 0.30303030303030304], ['value_company', 0.30303030303030304], ['value_initiative', 0.30303030303030304], ['action_practice', 0.27272727272727276], ['action_section', 0.27272727272727276], ['additional_detail', 0.27272727272727276], ['business_society', 0.27272727272727276], ['checklist_touch', 0.27272727272727276], ['detail_full', 0.27272727272727276], ['full_list', 0.27272727272727276], ['key_action', 0.27272727272727276], ['list_action', 0.27272727272727276], ['next_page', 0.27272727272727276], ['practice_additional', 0.27272727272727276], ['purpose_profit', 0.27272727272727276], ['purpose_purpose', 0.27272727272727276], ['talent_acquisition', 0.27272727272727276], ['touch_key', 0.27272727272727276], ['business_societal', 0.24242424242424246], ['company_culture', 0.24242424242424246], ['core_business', 0.24242424242424246], ['external_stakeholder', 0.24242424242424246], ['practice_purpose', 0.24242424242424246], ['societal_need', 0.24242424242424246], ['strategy_value', 0.24242424242424246]]","[['new_model_cooperation', 1.0], ['action_practice_additional', 0.8181818181818181], ['additional_detail_full', 0.8181818181818181], ['checklist_touch_key', 0.8181818181818181], ['detail_full_list', 0.8181818181818181], ['full_list_action', 0.8181818181818181], ['key_action_practice', 0.8181818181818181], ['list_action_section', 0.8181818181818181], ['practice_additional_detail', 0.8181818181818181], ['touch_key_action', 0.8181818181818181], ['company_purpose_value', 0.6363636363636364], ['strategy_goal_resource', 0.6363636363636364], ['strategy_operation_people', 0.5454545454545454], ['talent_acquisition_development', 0.5454545454545454], ['unmet_societal_need', 0.5454545454545454], ['company_purpose_purpose', 0.45454545454545453], ['financial_value_company', 0.45454545454545453], ['significant_financial_value', 0.45454545454545453], ['social_environmental_problem', 0.45454545454545453], ['sustainable_development_goal', 0.45454545454545453], ['authentic_profitable_serious', 0.36363636363636365], ['co_creation_mistake', 0.36363636363636365], ['company_reason_societal', 0.36363636363636365], ['creation_mistake_vulnerability', 0.36363636363636365], ['creativity_co_creation', 0.36363636363636365], ['engagement_communication_practice', 0.36363636363636365], ['goal_strategy_goal', 0.36363636363636365], ['mistake_vulnerability_status', 0.36363636363636365], ['policy_practice_program', 0.36363636363636365], ['positive_neutral_negative', 0.36363636363636365], ['problem_significant_financial', 0.36363636363636365], ['purpose_company_reason', 0.36363636363636365], ['purpose_practice_value', 0.36363636363636365], ['significant_authentic_profitable', 0.36363636363636365], ['social_environmental_need', 0.36363636363636365], ['value_ecosystem_value', 0.36363636363636365], ['value_strategy_value', 0.36363636363636365], ['vulnerability_status_quo', 0.36363636363636365], ['activity_method_approach', 0.2727272727272727], ['approach_external_condition', 0.2727272727272727], ['area_value_practitioner', 0.2727272727272727], ['belief_business_society', 0.2727272727272727], ['business_environment_company', 0.2727272727272727], ['business_purpose_company', 0.2727272727272727], ['business_social_environmental', 0.2727272727272727], ['business_society_common', 0.2727272727272727], ['business_success_mindset', 0.2727272727272727], ['civil_society_government', 0.2727272727272727], ['company_activity_method', 0.2727272727272727], ['company_people_practice', 0.2727272727272727]]"
9,no_151_Signatory Name  Nestlé Australia Limited   White Pages_data.json,[],[]
