,search_text,link,title,description
0,Nestle australia Adapting to climate change,"https://www.nestle.com.au/en/media/support-transition-regenerative-food-system#:~:text=Nestl%C3%A9%20is%20a%20signatory%20of,achieve%20net%20zero%20by%202050.",Transition to Regenerative Food System | Nestlé Australia,Nestlé is a signatory of the UN Business Ambition for 1.5°C pledge and was one of the first companies to share its detailed  time-bound climate plan in December 2020. The company is taking measures to halve its emissions by 2030 and achieve net zero by 2050.Sep 16  2021
1,Nestle australia Adapting to climate change,https://www.nestle.com.au/en/nestle-society/environmental-impact/climate-change,Nestlé Tackling Climate Change - Nestle Australia,Nestlé is using its size  scale and reach to tackle climate change and make a big difference. Visit our website to find out more.
2,Nestle australia Adapting to climate change,https://www.nestle.com.au/en/media/nestle-helps-farmers-adapt-climate-change,Nestlé helps farmers adapt to climate change - Nestle Australia,Dec 16  2012 — Nestlé's work to help cocoa and coffee farmers adapt to environmental challenges has been recognised as an example of best practice.
3,Nestle australia Adapting to climate change,https://www.nestle.com.au/en/media/nestle-commits-zero-net-emissions-2050,Nestlé accelerates zero net emissions by 2050 - Nestle Australia,Sep 12  2019 — Nestlé accelerates action to tackle climate change and commits to zero net emissions by 2050.
4,Nestle australia Adapting to climate change,https://www.nestle.com.au/en/media/nestle-endorses-caring-climate-un-summit,Nestlé endorses Caring for Climate at UN summit - Nestle ...,Sep 25  2014 — Nestlé has announced its endorsement of caring for xlimate  the world's largest coalition on climate issues. Read the full story.
5,Nestle australia Adapting to climate change,https://www.nestle.com.au/en/media/nestle-efforts-combat-climate-change,Focusing on regenerative agriculture | Nestlé Australia,Dec 3  2020 — Focusing on regenerative agriculture and moving to renewable electricity  Nestlé redoubles efforts to combat climate change. Dec 03  2020.
6,Nestle australia Adapting to climate change,https://www.foodmag.com.au/nestle-transition-regenerative-food-system/,Nestlé to transition to a regenerative food system,Sep 23  2021 — The training will focus on regenerative agriculture practices and improving the resilience of farms to climate change for more than 40 000 ...
7,Nestle australia Adapting to climate change,https://www.foodanddrinkbusiness.com.au/news/nestl-to-transition-to-regenerative-food-system,Nestlé to transition to regenerative food system,Sep 17  2021 — The training will focus on regenerative agriculture practices and improving the resilience of farms to climate change for more than 40 000 ...
8,Nestle australia Adapting to climate change,https://www.packagingnews.com.au/sustainability/nestl-australia-going-for-net-zero-carbon-emissions,Nestlé Australia going for net zero carbon emissions - PKN ...,Dec 4  2020 — “Tackling climate change can't wait  so neither will we ” Martinez said. “We have all witnessed the impact of the climate crisis right on our ...
9,Nestle australia Adapting to climate change,https://www.environment.nsw.gov.au/-/media/OEH/Corporate-Site/Documents/Climate-change/climate-change-fund-annual-report-2007-08-080626.pdf,NSW Climate Change Fund Annual Report,Climate change mitigation and adaptation is critical for the future ... the first Australian state or territory to introduce emissions.
10,"Nestle australia Incorporate governance considerations into investment decisions, processes, policies, and practices",https://aicd.companydirectors.com.au/membership/company-director-magazine/2018-back-editions/october/sustainable-investment,Directors_ are you across the growing interest in sustainable ...,Sep 27  2018 — Interest in responsible and ESG investment is increasing. We outline emerging trends  what investors are looking for and how the performance ...
11,"Nestle australia Incorporate governance considerations into investment decisions, processes, policies, and practices",https://www.cpaaustralia.com.au/-/media/project/cpa/corporate/documents/tools-and-resources/ethics/corporate-governance-case-studies.pdf?rev=5b5304118eab489cb72b9234b6a3016c&download=true,Corporate Governance Case Studies - CPA Australia,there are differences in rules  regulations and norms and unique corporate governance issues in Asia  the international cases allow the learning.
12,"Nestle australia Incorporate governance considerations into investment decisions, processes, policies, and practices",https://www.schroders.com/en/sysglobalassets/schroders/sites/au/insights-images/sustainable-investing-annual-report-2019.pdf,Sustainable Investment Report - Schroders,integrate ESG considerations into our research and overall investment decisions across investment desks and asset classes. In 2019 we announced our.
