,search_text,link,title,description
0,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://www.pepsico.com.au/sustainability/sustainable-food-system,Sustainable Food System | PepsiCo,In Australia and New Zealand we partner with our potato growers and suppliers to support sustainable agriculture by identifying and sharing best practices ...
1,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://www.ecovoice.com.au/pepsico-australia-successfully-switches-to-100-renewable-electricity/,PepsiCo Australia successfully switches to 100% renewable ...,19 Dec 2021 — Danny Celoni  CEO of PepsiCo Australia and New Zealand said: “Climate change ... snacks have been produced using sustainable electricity”.
2,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://www.foodanddrinkbusiness.com.au/news/pepsico-tightens-sustainability-targets,PepsiCo tightens sustainability targets - Food & Drink Business,15 Jan 2021 — PepsiCo is expected to achieve 100 per cent renewable electricity in ... PepsiCo Australia and New Zealand ranked in at #17 in Australia's ...
3,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://insidefmcg.com.au/2021/12/20/pepsico-australia-achieves-100-per-cent-renewable-energy-target/,PepsiCo Australia achieves 100 per cent renewable energy ...,20 Dec 2021 — Focusing on reducing global emissions  this initiative helps PepsiCo limit the amount of CO2 added into the environment – around 26 000 tones ...
4,PepsiCo Australia and New Zealand australia Environmentally sound technologies,http://www.smiths.com.au/downloads/PANZ-POL-000-EHS-Policy-v.2-2015-11-23-External-A3.pdf,PepsiCo Australia & New Zealand Environment_ Health and ...,23 Nov 2015 — PepsiCo Australia & New Zealand is a leading manufacturer and marketer ... our goal to deliver long-term  sustainable financial performance.
5,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://www.replas.com.au/wp-content/uploads/2020.02.25-PepsiCo-pledges-to-help-Clean-Up-Australia.pdf,PepsiCo pledges $650_000 to help Clean Up Australia - Replas,25 Feb 2020 — Danny Celoni  CEO PepsiCo Australia and New Zealand  says  “We are thrilled to partner with Clean Up. Australia and REDcycle to launch ...
6,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://anzpacplasticspact.org.au/australia-new-zealand-and-pacific-islands-plastics-pact-launches-to-tackle-plastics-pollution-with-innovative-solutions/,AUSTRALIA_ NEW ZEALAND AND PACIFIC ISLANDS ...,17 May 2021 — Plastic pollution is one of the most pressing environmental issues ... PepsiCo Australia and New Zealand; Piber Plastics Australia Pty Ltd ...
7,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://retailworldmagazine.com.au/pepsico-australia-new-zealand-ceo-robbert-rietbroek/,PepsiCo Australia & New Zealand CEO Robbert Rietbroek,16 Aug 2016 — Providing a wide range of snack and beverages  from treats to healthier eats. · Finding innovative ways to minimise our impact on the environment ...
8,PepsiCo Australia and New Zealand australia Environmentally sound technologies,https://www.incleanmag.com.au/pepsico-launches-community-waste-program-with-clean-up-australia/,PepsiCo launches community waste program with Clean Up ...,3 May 2021 — PepsiCo and Clean Up Australia kick off national program to build a ... said PepsiCo Australia and New Zealand chief marketing officer  ...
9,PepsiCo Australia and New Zealand australia Anti-child labour exploitation,https://www.worldvision.com.au/,World Vision Australia | Australian Charity,World Vision is an Australian charity organisation dedicated to working with children  families and communities to overcome poverty and injustice.
