,search_text,link,title,description
0,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/news/press-releases/2021/unilever-sets-out-plans-to-help-build-a-more-equitable-and-inclusive-society/,Unilever sets out plans to build a more equitable society,20 Jan 2021 — Unilever Australia and New Zealand's strength as a business is ... results in improved financial performance through its capacity to foster ...
1,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/planet-and-society/,Sustainability - Planet & Society | Unilever,The world has never had a clearer view of the social and environmental ... in which our suppliers  customers and consumers are all part of building a better ...
2,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/news/2019/ever-wondered-where-your-favourite-cup-of-tea-comes-from/,Ever wondered where your favourite cup of tea comes from?,16 Sept 2019 — By publishing a full list of our global tea suppliers  we will increase transparency in our supply chain and boost our efforts to transform ...
3,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/news/2020/lessons-learnt-make-sustainable-living-effortless-and-systemic/,Lessons learnt: Make sustainable living effortless – and systemic,1 June 2020 — While some of our environmental impacts relate to our own direct operations and those of our suppliers  a substantial impact occurs when our ...
4,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/planet-and-society/latest-progress-in-australia-and-new-zealand/wastefree-world/,Waste-free world | Unilever,We're working to keep waste in the economy and out of the environment. ... with our suppliers Visy & Pact to source Australian-recycled HDPE plastic.
5,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/news/2020/the-unilever-compass-our-next-game-changer-for-business/,The Unilever Compass: our next game-changer for business,1 June 2020 — The frontline health care workers  of course. ... to transform our social  environmental and economic performance across the value chain.
6,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/news/press-releases/2016/unilever-sets-industry-benchmark-with-global-zero-waste-to-landfill-achievement/,Global zero waste to landfill achievement | Unilever,9 Feb 2016 — Unilever Australia among over 600 Unilever sites to have now ... can only be realised by working with  and learning from  suppliers  ...
7,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.unilever.com.au/our-company/our-history-in-australia-and-zealand/,Our history in Australia and Zealand | Unilever,Unilever has a long  proud history in Australia and New Zealand. ... improve their health and wellbeing  halve our environmental footprint and enhance the ...
8,Unilever Australia australia Working with suppliers to improve environmental performance,https://acfid.asn.au/sites/site.acfid/files/resource_document/Building%20the%20Business%20Case%20for%20Sustainable%20Procurement%20in%20Australia%202019.pdf,SUSTAINABLE - ACFID |,BUILDING THE BUSINESS CASE FOR SUSTAINABLE PROCUREMENT IN AUSTRALIA – ... environmental  social and economic impacts possible over the entire life cycle.”.
9,Unilever Australia australia Working with suppliers to improve environmental performance,https://www.aph.gov.au/~/media/wopapub/senate/committee/corporations_ctte/completed_inquiries/2004_07/corporate_responsibility/submissions/sub68_pdf.ashx,Submission - Inquiry into corporate responsibility - Parliament ...,28 Sept 2005 — Unilever Australasia is an operating company of Unilever PLC  ... diversity in a working environment where there is mutual trust and respect ...
10,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/press-releases/2018/sustainability-fuels-growth-and-transparency-builds-trust/,Sustainability fuels growth and transparency builds trust,6 June 2018 — Unilever Australia - Sustainable Living Plan continues to fuel growth. ... to decouple Unilever's growth from its environmental impact  ...
11,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/press-releases/2021/unilever-sets-out-plans-to-help-build-a-more-equitable-and-inclusive-society/,Unilever sets out plans to build a more equitable society,20 Jan 2021 — Unilever Australia and New Zealand's strength as a business is critically ... Without a healthy society  without a healthy environment  ...
12,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/2020/climate-and-nature/,How we will improve the health of our planet | Unilever,14 June 2020 — The climate crisis is not only an environmental emergency; it also has a terrible impact on lives and livelihoods. We  therefore  have a ...
13,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/press-releases/2016/australia-must-act-now-to-achieve-a-zero-carbon-zero-poverty-world/,Act now to achieve a zero carbon_ zero poverty world | Unilever,27 July 2016 — 28 July 2016 – Australia must step up efforts to achieve a ... case for action on key social and environmental issues ” said Clive Stiff  ...
14,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/press-releases/2017/a-sustainable-future-demands-better-collaboration-with-young-australians/,A sustainable future demands better collaboration with youth,14 June 2017 — Clive Stiff  CEO of Unilever Australia and New Zealand said the ... is to decouple our growth from our environmental impact while at the ...
15,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/2018/how-are-we-doing-against-our-sustainable-living-plan-targets/,How are we doing against our Sustainable Living Plan targets?,9 May 2018 — Progress update on the Unilever Sustainable Living Plan. ... Reducing the environmental impact of how consumers use our products continues ...
16,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/2020/why-business-must-drive-systems-change/,Lessons learnt: Business must drive systems change | Unilever,1 June 2020 — Environmental issues are becoming more  not less  urgent. ... we can do to reduce the impact of our operations and that of our suppliers  ...
17,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/press-releases/2017/sustainable-living-brands-deliver-60-of-companys-growth/,Sustainable Living brands deliver 60% of company's growth,31 May 2017 — Clive Stiff  Chairman & CEO Unilever Australia & New Zealand said  ... it is making solid progress on reducing its environmental impact  ...
18,Unilever Australia australia Incorporate environmental considerations,https://www.unilever.com.au/news/press-releases/2020/unilever-sets-bold-new-future-foods-ambition/,Unilever sets bold new 'Future Foods' ambition,22 Nov 2020 — Sydney  Australia  November 19  2020 - Unilever today announced a new ... to help reduce the environmental impact of the global food chain.
19,Unilever Australia australia Incorporate environmental considerations,https://www.ecovoice.com.au/unilever-australia-announces-sustainable-living-plan-continues-to-fuel-growth/,Unilever Australia announces Sustainable Living Plan ...,8 June 2018 — Launched in 2010 the USLP set ambitious targets to decouple Unilever's growth from its environmental impact  while increasing the company's ...
20,Unilever Australia australia sustainable,https://www.unilever.com.au/news/press-releases/2018/sustainability-fuels-growth-and-transparency-builds-trust/,Sustainability fuels growth and transparency builds trust,Unilever reported it is on track in Australia to meet key commitments including: Sourcing 100 per cent of all grid electricity used in manufacturing from renewable sources by 2020. Becoming carbon positive in its manufacturing operations by 2030.6 June 2018
21,Unilever Australia australia sustainable,https://www.unilever.com.au/news/press-releases/2021/unilever-sets-out-plans-to-help-build-a-more-equitable-and-inclusive-society/,Unilever sets out plans to build a more equitable society,20 Jan 2021 — Unilever Australia and New Zealand's strength as a business is ... through the Unilever Sustainable Living Plan to help more than a billion ...
22,Unilever Australia australia sustainable,https://www.unilever.com.au/planet-and-society/,Sustainability - Planet & Society | Unilever,We will act to improve the health of the planet. Taking climate action. Protecting and regenerating nature. And creating a waste-free world. We will contribute ...
